date,index,atm_iv,iv_rank,action,sold_C,sold_P,premium,n_pos,gamma,delta,vega,nav,r
2023-01-06,6500.32,0.14825074687456394,3.5398230088495577,hold,0,0,0.0,1,-753610.5010968518,-3647.492879275631,-4708951.405388989,99504768.44915877,0.0
2023-01-09,6535.749,0.15611064923578255,10.526315789473683,hold,0,0,0.0,1,-784233.5031797619,-3612.8689746077284,-4690287.039252658,99504768.44915877,0.0
2023-01-10,6540.201,0.15584800851098293,10.434782608695652,hold,0,0,0.0,1,-790182.5891349604,-3614.6902452637805,-4655331.575539168,99504768.44915877,0.0
2023-01-11,6486.905,0.16456921564076293,14.655172413793101,hold,0,0,0.0,1,-758064.7037023169,-3722.323288159757,-4398441.901337476,99504768.44915877,0.0
2023-01-12,6489.57,0.16218226332941493,13.675213675213676,hold,0,0,0.0,1,-762430.5507084419,-3728.218885076543,-4355715.359873777,99504768.44915877,0.0
2023-01-13,6517.513,0.16134818879364263,13.559322033898304,hold,0,0,0.0,1,-784341.0737639602,-3687.9245056034897,-4410874.843976461,99504768.44915877,0.0
2023-01-16,6591.806,0.1701107491192894,19.327731092436977,hold,0,0,0.0,1,-845490.2183157695,-3579.5020734885406,-4528340.393330447,99504768.44915877,0.0
2023-01-17,6597.495,0.1683449235898219,19.166666666666668,hold,0,0,0.0,1,-853426.5358950987,-3579.274432786499,-4494665.550615922,99504768.44915877,0.0
2023-01-18,6613.005,0.17535559338397838,22.31404958677686,hold,0,0,0.0,1,-868412.0054263516,-3559.6686400900026,-4496069.744867649,99504768.44915877,0.0
2023-01-19,6676.08,0.1775257130186978,22.950819672131146,hold,0,0,0.0,1,-916117.3978371422,-3442.996274420011,-4661280.238849418,99504768.44915877,0.0
2023-01-20,6736.852,0.17599555306582687,22.76422764227642,hold,0,0,0.0,1,-960916.3999397062,-3326.4621122202348,-4803445.414172517,99504768.44915877,0.0
2023-01-30,6786.453,0.18317307686553003,29.03225806451613,hold,0,0,0.0,1,-1068393.0213645352,-3325.041509787124,-4387004.718493438,99504768.44915877,0.0
2023-01-31,6805.276,0.17377048513255408,20.8,hold,0,0,0.0,1,-1091191.6545825896,-3292.8196069333153,-4383215.032476561,99504768.44915877,0.0
2023-02-01,6916.72,0.18353252443749965,30.158730158730158,hold,0,0,0.0,1,-1175091.5506979346,-3035.0077541681435,-4615339.0160132125,99504768.44915877,0.0
2023-02-02,6933.226,0.17970291555991727,25.196850393700785,hold,0,0,0.0,1,-1196625.7257271279,-3003.689336174978,-4593101.239992595,99504768.44915877,0.0
2023-02-03,6925.076,0.1884904388920949,33.59375,hold,0,0,0.0,1,-1204413.245092322,-3033.7380025759885,-4515481.221314124,99504768.44915877,0.0
2023-02-06,6891.413,0.20144002320104143,44.18604651162791,hold,0,0,0.0,1,-1220746.9234089572,-3151.8618182484147,-4249809.5948489895,99504768.44915877,0.0
2023-02-07,6924.321,0.18125160022100845,28.46153846153846,hold,0,0,0.0,1,-1257856.9043428714,-3077.96380909669,-4266719.196583457,99504768.44915877,0.0
2023-02-08,6877.725,0.15454279409875396,7.633587786259542,hold,0,0,0.0,1,-1236858.8994644193,-3212.2223800755974,-4085085.1134766834,99504768.44915877,0.0
2023-02-09,6999.182,0.174770439562875,21.96969696969697,hold,0,0,0.0,1,-1336655.6313538318,-2898.461070161773,-4295376.733859448,99504768.44915877,0.0
2023-02-10,6975.395,0.1603183590807862,12.781954887218044,hold,0,0,0.0,1,-1339530.769376124,-2973.804907128989,-4185043.394322894,99504768.44915877,0.0
2023-02-13,7052.177,0.1947752797931794,41.7910447761194,hold,0,0,0.0,1,-1442615.1212122305,-2786.2709266968477,-4120782.434551982,99504768.44915877,0.0
2023-02-14,7061.449,0.16798622836497484,18.51851851851852,hold,0,0,0.0,1,-1469524.067325819,-2767.9471948007645,-4066470.4829516546,99504768.44915877,0.0
2023-02-15,7063.605,0.16449174165762753,15.441176470588236,hold,0,0,0.0,1,-1494018.6482464578,-2770.4178466567832,-4000888.9793664473,99504768.44915877,0.0
2023-02-16,6925.203,0.17862787821877668,26.277372262773724,hold,0,0,0.0,1,-1411282.1296356642,-3195.4594353958664,-3653348.2061962453,99504768.44915877,0.0
2023-02-17,6868.548,0.15188421844869726,5.797101449275362,hold,0,0,0.0,1,-1368036.4166535225,-3378.49166823993,-3419281.9752101684,99504768.44915877,0.0
2023-02-20,6959.361,0.20639539677124388,53.956834532374096,hold,0,0,0.0,1,-1538217.768471937,-3157.4637258536254,-3432709.5609818893,99504768.44915877,0.0
2023-02-21,6990.475,0.17720227325635785,25.71428571428571,hold,0,0,0.0,1,-1598829.6068150413,-3074.1292576081382,-3425252.963903228,99504768.44915877,0.0
2023-02-22,6998.43,0.1720328373234407,21.98581560283688,hold,0,0,0.0,1,-1637446.8011051428,-3064.5507802170823,-3361818.4970712415,99504768.44915877,0.0
2023-02-23,6966.787,0.1686802073536021,20.422535211267608,hold,0,0,0.0,1,-1631996.7928580102,-3189.156559902931,-3204949.634610305,99504768.44915877,0.0
2023-02-24,6944.824,0.14153388797786243,2.097902097902098,hold,0,0,0.0,1,-1633048.684844333,-3284.6388739981867,-3061241.936666461,99504768.44915877,0.0
2023-02-27,6894.296,0.15094282268781878,5.555555555555555,hold,0,0,0.0,1,-1636704.457826925,-3537.7269149091726,-2629795.6195468283,99504768.44915877,0.0
2023-02-28,6955.574,0.15317804014997938,8.275862068965518,hold,0,0,0.0,1,-1791050.1992287105,-3348.8937173299328,-2717915.2282546866,99504768.44915877,0.0
2023-03-01,7002.771,0.1507062328973801,4.794520547945205,hold,0,0,0.0,1,-1920713.685621214,-3197.002857245352,-2743227.5945023536,99504768.44915877,0.0
2023-03-02,6972.306,0.16656667843767373,19.727891156462583,hold,0,0,0.0,1,-1912576.9815242656,-3346.1456637803126,-2560881.0762006245,99504768.44915877,0.0
2023-03-03,6967.94,0.13743351622283614,2.027027027027027,hold,0,0,0.0,1,-1953112.5787400675,-3397.5270135325272,-2440813.181120725,99504768.44915877,0.0
2023-03-06,6997.044,0.1705266303247414,24.832214765100673,hold,0,0,0.0,1,-2215249.926166447,-3392.9390015518193,-2175177.203934422,99504768.44915877,0.0
2023-03-07,6855.344,0.1643700902668718,18.0,hold,0,0,0.0,1,-1736715.4197053174,-4038.6976138553387,-1550271.9440952498,99504768.44915877,0.0
2023-03-08,6891.456,0.19158014975584506,45.033112582781456,hold,0,0,0.0,1,-1921942.1731471205,-3966.8348994302414,-1544052.4658542492,99504768.44915877,0.0
2023-03-09,6892.857,0.18696627306615723,40.131578947368425,hold,0,0,0.0,1,-1955023.389244032,-4036.5290730611378,-1396114.9309812859,99504768.44915877,0.0
2023-03-10,6798.299,0.17905590835539198,32.02614379084967,hold,0,0,0.0,1,-1394957.941124467,-4461.375629283876,-871642.466201833,99504768.44915877,0.0
